S.No.,datetime,temperature,humidity,mode,speed,opTime,eSpent,eSaved
0,22/09/2020 20:52,32,89,0,5,30,1440,1440
1,22/09/2020 20:52,33,90,0,5,60,2880,2880
2,22/09/2020 20:53,32,90,0,5,90,4320,4320
3,22/09/2020 20:55,32,89,0,5,30,1440,1440
4,22/09/2020 20:55,32,90,0,5,60,2880,2880
5,22/09/2020 20:56,32,89,0,5,60,2880,2880
6,22/09/2020 20:57,31,89,0,5,90,4320,4320
7,22/09/2020 20:59,31,88,0,5,30,1440,1440
8,22/09/2020 20:59,31,89,0,5,30,1440,1440
9,22/09/2020 21:00,31,88,0,5,30,1440,1440
10,22/09/2020 21:00,31,87,0,5,30,1440,1440
11,22/09/2020 21:01,31,88,0,5,90,4320,4320
12,22/09/2020 21:02,31,87,0,5,180,8640,8640
13,22/09/2020 21:05,31,86,0,5,90,4320,4320
14,22/09/2020 21:07,31,85,0,5,150,7200,7200
15,22/09/2020 21:09,31,84,0,5,90,4320,4320
16,22/09/2020 21:11,31,83,0,5,120,5760,5760
17,22/09/2020 21:13,31,82,0,5,90,4320,4320
18,22/09/2020 21:14,31,81,0,5,60,2880,2880
19,22/09/2020 21:15,31,80,0,5,240,11520,11520
20,22/09/2020 21:19,30,80,0,5,30,1440,1440
21,22/09/2020 21:20,31,80,0,5,30,1440,1440
22,22/09/2020 21:20,31,79,0,5,30,1440,1440
23,22/09/2020 21:21,30,79,0,5,90,4320,4320
24,22/09/2020 21:22,30,78,0,5,120,5760,5760
25,22/09/2020 21:24,30,77,0,5,120,5760,5760
26,22/09/2020 21:26,30,76,0,5,120,5760,5760
27,22/09/2020 21:28,30,75,0,5,60,2880,2880
28,22/09/2020 21:29,30,74,0,5,120,5760,5760
29,22/09/2020 21:31,30,73,0,5,30,1440,1440
30,22/09/2020 21:32,30,74,0,5,60,2880,2880
31,22/09/2020 21:33,30,75,0,5,60,2880,2880
32,22/09/2020 21:34,30,76,0,5,210,10080,10080
33,22/09/2020 21:37,30,77,0,5,30,1440,1440
34,22/09/2020 21:38,30,76,0,5,60,2880,2880
35,22/09/2020 21:39,30,77,0,5,30,1440,1440
36,22/09/2020 21:39,30,76,0,5,60,2880,2880
37,22/09/2020 21:40,30,77,0,5,270,12960,12960
38,22/09/2020 21:45,30,76,0,5,30,1440,1440
39,22/09/2020 21:45,30,77,0,5,90,4320,4320
40,22/09/2020 21:47,30,75,0,5,30,1440,1440
41,22/09/2020 21:47,30,76,0,5,30,1440,1440
42,22/09/2020 21:48,30,75,0,5,60,2880,2880
43,22/09/2020 21:49,30,74,0,5,90,4320,4320
44,22/09/2020 21:50,30,73,0,5,60,2880,2880
45,22/09/2020 21:51,30,75,0,5,30,1440,1440
46,22/09/2020 21:52,30,77,0,5,30,1440,1440
47,22/09/2020 21:52,30,78,0,5,30,1440,1440
48,22/09/2020 21:53,30,79,0,5,60,2880,2880
49,22/09/2020 21:54,31,80,0,5,30,1440,1440
50,22/09/2020 21:54,31,79,0,5,30,1440,1440
51,22/09/2020 21:55,31,78,0,5,60,2880,2880
52,22/09/2020 21:56,31,77,0,5,30,1440,1440
53,22/09/2020 21:56,30,77,0,5,60,2880,2880
54,22/09/2020 21:57,30,78,0,5,30,1440,1440
55,22/09/2020 21:58,30,77,0,5,30,1440,1440
56,22/09/2020 21:58,30,78,0,5,30,1440,1440
57,22/09/2020 21:59,30,77,0,5,90,4320,4320
58,22/09/2020 22:00,30,76,0,5,120,5760,5760
59,22/09/2020 22:02,30,75,0,5,30,1440,1440
60,22/09/2020 22:03,30,76,0,5,90,4320,4320
61,22/09/2020 22:04,30,75,0,5,300,14400,14400
62,22/09/2020 22:09,30,74,0,5,90,4320,4320
63,22/09/2020 22:11,30,73,0,5,120,5760,5760
64,22/09/2020 22:13,30,74,0,5,30,1440,1440
65,22/09/2020 22:13,30,75,0,5,30,1440,1440
66,22/09/2020 22:14,30,76,0,5,30,1440,1440
67,22/09/2020 22:14,30,77,0,5,30,1440,1440
68,22/09/2020 22:15,30,78,0,5,30,1440,1440
69,22/09/2020 22:15,31,78,0,5,30,1440,1440
70,22/09/2020 22:16,31,79,0,5,30,1440,1440
71,22/09/2020 22:16,31,78,0,5,90,4320,4320
72,22/09/2020 22:18,31,76,0,5,30,1440,1440
73,22/09/2020 22:18,31,77,0,5,270,12960,12960
74,22/09/2020 22:23,30,77,0,5,120,5760,5760
75,22/09/2020 22:25,30,77,0,3,60,1200,2100
76,22/09/2020 22:26,31,77,0,3,30,600,1050
77,22/09/2020 22:26,31,76,0,3,30,600,1050
78,22/09/2020 22:27,31,77,0,3,120,2400,4200
79,22/09/2020 22:29,31,76,0,3,30,600,1050
80,22/09/2020 22:29,31,75,0,3,120,2400,4200
81,22/09/2020 22:31,30,74,0,3,30,600,1050
82,22/09/2020 22:32,30,75,0,3,30,600,1050
83,22/09/2020 22:32,30,74,0,3,60,1200,2100
84,22/09/2020 22:33,30,73,0,3,30,600,1050
85,22/09/2020 22:34,30,75,0,3,30,600,1050
86,22/09/2020 22:34,30,76,0,3,30,600,1050
87,22/09/2020 22:35,31,77,0,3,60,1200,2100
88,22/09/2020 22:36,31,78,0,3,30,600,1050
89,22/09/2020 22:36,31,79,0,3,30,600,1050
90,22/09/2020 22:37,31,78,0,3,60,1200,2100
91,22/09/2020 22:38,31,77,0,3,150,3000,5250
92,22/09/2020 22:40,31,76,0,3,60,1200,2100
93,22/09/2020 22:41,31,75,0,3,30,600,1050
94,22/09/2020 22:42,31,76,0,3,30,600,1050
95,22/09/2020 22:42,31,77,0,3,30,600,1050
96,22/09/2020 22:43,31,78,0,3,60,1200,2100
97,22/09/2020 22:44,31,79,0,3,120,2400,4200
98,22/09/2020 22:46,31,78,0,3,30,600,1050
99,22/09/2020 22:46,31,79,0,3,30,600,1050
100,22/09/2020 22:47,31,78,0,3,60,1200,2100
101,22/09/2020 22:48,31,77,0,3,60,1200,2100
102,22/09/2020 22:49,31,76,0,3,30,600,1050
103,22/09/2020 22:49,30,77,0,3,90,1800,3150
104,22/09/2020 22:51,30,78,0,3,30,600,1050
105,22/09/2020 22:51,31,79,0,3,30,600,1050
106,22/09/2020 22:52,31,80,0,3,30,600,1050
107,22/09/2020 22:52,31,81,0,3,120,2400,4200
108,22/09/2020 22:54,31,80,0,3,60,1200,2100
109,22/09/2020 22:55,31,79,0,3,120,2400,4200
110,22/09/2020 22:57,31,78,0,3,30,600,1050
111,22/09/2020 22:58,30,78,0,3,180,3600,6300
112,22/09/2020 23:01,30,77,0,3,120,2400,4200
113,22/09/2020 23:03,30,76,0,3,60,1200,2100
114,22/09/2020 23:04,30,77,0,3,30,600,1050
115,22/09/2020 23:04,30,79,0,3,30,600,1050
116,22/09/2020 23:05,30,80,0,3,60,1200,2100
117,22/09/2020 23:06,30,81,0,3,60,1200,2100
118,22/09/2020 23:07,31,81,0,3,30,600,1050
119,22/09/2020 23:07,31,80,0,3,60,1200,2100
120,22/09/2020 23:08,30,79,0,3,30,600,1050
121,22/09/2020 23:09,30,78,0,3,90,1800,3150
122,22/09/2020 23:10,30,77,0,3,90,1800,3150
123,22/09/2020 23:12,30,76,0,3,90,1800,3150
124,22/09/2020 23:13,30,77,0,3,30,600,1050
125,22/09/2020 23:14,30,78,0,3,30,600,1050
126,22/09/2020 23:14,30,79,0,3,60,1200,2100
127,22/09/2020 23:15,30,80,0,3,60,1200,2100
128,22/09/2020 23:16,30,79,0,3,120,2400,4200
129,22/09/2020 23:18,30,78,0,3,90,1800,3150
130,22/09/2020 23:20,30,76,0,3,30,600,1050
131,22/09/2020 23:20,30,77,0,3,60,1200,2100
132,22/09/2020 23:21,30,78,0,3,60,1200,2100
133,22/09/2020 23:22,30,79,0,3,30,600,1050
134,22/09/2020 23:23,31,79,0,3,30,600,1050
135,22/09/2020 23:23,31,78,0,3,120,2400,4200
136,22/09/2020 23:25,31,77,0,3,120,2400,4200
137,22/09/2020 23:27,32,77,0,3,90,1800,3150
138,22/09/2020 23:29,32,78,0,3,90,1800,3150
139,22/09/2020 23:30,32,79,0,3,60,1200,2100
140,22/09/2020 23:31,32,78,0,3,30,600,1050
141,22/09/2020 23:32,32,80,0,3,180,3600,6300
142,22/09/2020 23:35,32,81,0,3,90,1800,3150
143,22/09/2020 23:36,32,82,0,3,120,2400,4200
144,22/09/2020 23:38,32,83,0,3,210,4200,7350
145,22/09/2020 23:42,32,84,0,3,120,2400,4200
146,22/09/2020 23:44,32,85,0,3,30,600,1050
147,22/09/2020 23:44,32,84,0,3,30,600,1050
148,22/09/2020 23:45,32,85,0,3,210,4200,7350
149,22/09/2020 23:48,32,86,0,3,90,1800,3150
150,22/09/2020 23:50,32,85,0,3,30,600,1050
151,22/09/2020 23:50,32,86,0,3,30,600,1050
152,22/09/2020 23:51,32,84,0,3,60,1200,2100
153,22/09/2020 23:52,32,85,0,3,30,600,1050
154,22/09/2020 23:52,32,84,0,3,60,1200,2100
155,22/09/2020 23:53,31,84,0,3,30,600,1050
156,22/09/2020 23:54,31,83,0,3,90,1800,3150
157,22/09/2020 23:55,31,82,0,3,90,1800,3150
158,22/09/2020 23:57,31,81,0,3,30,600,1050
159,22/09/2020 23:57,31,80,0,3,30,600,1050
160,22/09/2020 23:58,31,81,0,3,60,1200,2100
161,22/09/2020 23:59,31,80,0,3,90,1800,3150
162,23/09/2020 0:00,31,79,0,3,30,600,1050
163,23/09/2020 0:01,30,79,0,3,30,600,1050
164,23/09/2020 0:01,30,78,0,3,150,3000,5250
165,23/09/2020 0:04,30,76,0,3,30,600,1050
166,23/09/2020 0:04,30,77,0,3,90,1800,3150
167,23/09/2020 0:06,30,78,0,3,30,600,1050
168,23/09/2020 0:06,30,79,0,3,30,600,1050
169,23/09/2020 0:07,30,80,0,3,60,1200,2100
170,23/09/2020 0:08,31,81,0,3,60,1200,2100
171,23/09/2020 0:09,31,80,0,3,60,1200,2100
172,23/09/2020 0:10,31,79,0,3,30,600,1050
173,23/09/2020 0:10,31,78,0,3,60,1200,2100
174,23/09/2020 0:11,31,77,0,3,30,600,1050
175,23/09/2020 0:12,30,78,0,3,30,600,1050
176,23/09/2020 0:12,30,77,0,3,30,600,1050
177,23/09/2020 0:13,30,76,0,3,30,600,1050
178,23/09/2020 0:13,30,77,0,3,60,1200,2100
179,23/09/2020 0:14,30,76,0,3,90,1800,3150
180,23/09/2020 0:16,30,77,0,3,30,600,1050
181,23/09/2020 0:16,30,78,0,3,30,600,1050
182,23/09/2020 0:17,30,79,0,3,30,600,1050
183,23/09/2020 0:17,31,80,0,3,30,600,1050
184,23/09/2020 0:18,31,81,0,3,60,1200,2100
185,23/09/2020 0:19,31,80,0,3,120,2400,4200
186,23/09/2020 0:21,31,79,0,3,60,1200,2100
187,23/09/2020 0:22,31,78,0,3,30,600,1050
188,23/09/2020 0:22,30,78,0,3,90,1800,3150
189,23/09/2020 0:24,30,77,0,3,90,1800,3150
190,23/09/2020 0:25,30,76,0,3,60,1200,2100
191,23/09/2020 0:26,30,77,0,3,30,600,1050
192,23/09/2020 0:27,30,78,0,3,30,600,1050
193,23/09/2020 0:27,30,79,0,3,30,600,1050
194,23/09/2020 0:28,31,80,0,3,30,600,1050
195,23/09/2020 0:28,31,79,0,3,30,600,1050
196,23/09/2020 0:29,31,80,0,3,60,1200,2100
197,23/09/2020 0:30,31,79,0,3,30,600,1050
198,23/09/2020 0:30,31,78,0,3,60,1200,2100
199,23/09/2020 0:31,31,77,0,3,90,1800,3150
200,23/09/2020 0:33,30,76,0,3,90,1800,3150
201,23/09/2020 0:34,30,77,0,3,30,600,1050
202,23/09/2020 0:35,30,78,0,3,30,600,1050
203,23/09/2020 0:35,31,78,0,3,30,600,1050
204,23/09/2020 0:36,31,79,0,3,30,600,1050
205,23/09/2020 0:36,31,80,0,3,60,1200,2100
206,23/09/2020 0:37,31,79,0,3,30,600,1050
207,23/09/2020 0:38,31,78,0,3,60,1200,2100
208,23/09/2020 0:39,31,77,0,3,60,1200,2100
209,23/09/2020 0:40,31,76,0,3,30,600,1050
210,23/09/2020 0:40,30,76,0,3,60,1200,2100
211,23/09/2020 0:41,30,75,0,3,30,600,1050
212,23/09/2020 0:42,30,76,0,3,60,1200,2100
213,23/09/2020 0:43,30,78,0,3,30,600,1050
214,23/09/2020 0:43,30,79,0,3,30,600,1050
215,23/09/2020 0:44,30,78,0,3,30,600,1050
216,23/09/2020 0:44,30,80,0,3,60,1200,2100
217,23/09/2020 0:45,31,80,0,3,60,1200,2100
218,23/09/2020 0:46,31,79,0,3,30,600,1050
219,23/09/2020 0:47,31,78,0,3,30,600,1050
220,23/09/2020 0:47,30,77,0,3,180,3600,6300
221,23/09/2020 0:50,30,76,0,3,90,1800,3150
222,23/09/2020 0:52,30,77,0,3,30,600,1050
223,23/09/2020 0:52,30,78,0,3,30,600,1050
224,23/09/2020 0:53,30,79,0,3,60,1200,2100
225,23/09/2020 0:54,30,80,0,3,30,600,1050
226,23/09/2020 0:54,30,81,0,3,30,600,1050
227,23/09/2020 0:55,31,80,0,3,60,1200,2100
228,23/09/2020 0:56,31,79,0,3,30,600,1050
229,23/09/2020 0:56,31,78,0,3,30,600,1050
230,23/09/2020 0:57,30,78,0,3,30,600,1050
231,23/09/2020 0:57,30,77,0,3,120,2400,4200
232,23/09/2020 0:59,30,76,0,3,30,600,1050
233,23/09/2020 1:00,30,77,0,3,30,600,1050
234,23/09/2020 1:00,30,76,0,3,120,2400,4200
235,23/09/2020 1:02,30,75,0,3,30,600,1050
236,23/09/2020 1:03,30,76,0,3,30,600,1050
237,23/09/2020 1:03,30,77,0,3,30,600,1050
238,23/09/2020 1:04,30,78,0,3,30,600,1050
239,23/09/2020 1:04,30,79,0,3,30,600,1050
240,23/09/2020 1:05,30,80,0,3,30,600,1050
241,23/09/2020 1:05,30,81,0,3,60,1200,2100
242,23/09/2020 1:06,30,80,0,3,30,600,1050
243,23/09/2020 1:07,30,79,0,3,30,600,1050
244,23/09/2020 1:07,30,78,0,3,60,1200,2100
245,23/09/2020 1:08,30,77,0,3,90,1800,3150
246,23/09/2020 1:10,30,76,0,3,90,1800,3150
247,23/09/2020 1:11,30,77,0,3,30,600,1050
248,23/09/2020 1:12,30,78,0,3,30,600,1050
249,23/09/2020 1:12,30,79,0,3,30,600,1050
250,23/09/2020 1:13,30,80,0,3,90,1800,3150
251,23/09/2020 1:14,30,79,0,3,30,600,1050
252,23/09/2020 1:15,30,77,0,3,30,600,1050
253,23/09/2020 1:15,30,78,0,3,60,1200,2100
254,23/09/2020 1:16,30,77,0,3,60,1200,2100
255,23/09/2020 1:17,30,76,0,3,240,4800,8400
256,23/09/2020 1:21,31,76,0,3,390,7800,13650
257,23/09/2020 1:28,32,76,0,3,30,600,1050
258,23/09/2020 1:28,32,77,0,3,120,2400,4200
259,23/09/2020 1:30,32,76,0,3,30,600,1050
260,23/09/2020 1:31,32,77,0,3,90,1800,3150
261,23/09/2020 1:32,32,78,0,3,210,4200,7350
262,23/09/2020 1:36,32,79,0,3,240,4800,8400
263,23/09/2020 1:40,32,80,0,3,270,5400,9450
264,23/09/2020 1:44,32,81,0,3,90,1800,3150
265,23/09/2020 1:46,32,80,0,3,30,600,1050
266,23/09/2020 1:46,32,81,0,3,240,4800,8400
267,23/09/2020 1:50,32,82,0,3,510,10200,17850
268,23/09/2020 1:59,32,83,0,3,150,3000,5250
269,23/09/2020 2:01,32,82,0,3,30,600,1050
270,23/09/2020 2:02,32,83,0,3,390,7800,13650
271,23/09/2020 2:08,32,84,0,3,570,11400,19950
272,23/09/2020 2:18,32,85,0,3,120,2400,4200
273,23/09/2020 2:20,0,0,0,0,0,0,0
274,23/09/2020 2:38,33,85,0,3,30,600,1050
275,23/09/2020 2:38,33,86,0,3,30,600,1050
276,23/09/2020 2:39,33,86,0,5,60,2880,2880
277,23/09/2020 2:40,33,87,0,5,60,2880,2880
278,23/09/2020 2:41,32,88,0,5,30,1440,1440
279,23/09/2020 2:41,32,87,0,5,301,14448,14448
280,23/09/2020 2:46,32,86,0,5,59,2832,2832
281,23/09/2020 2:47,32,87,0,5,331,15888,15888
282,23/09/2020 2:53,33,88,0,5,30,1440,1440
283,23/09/2020 2:53,32,88,0,5,30,1440,1440
284,23/09/2020 2:54,32,87,0,5,60,2880,2880
285,23/09/2020 2:55,32,88,0,5,30,1440,1440
286,23/09/2020 2:55,33,88,0,5,30,1440,1440
287,23/09/2020 2:56,33,87,0,5,60,2880,2880
288,23/09/2020 2:57,32,87,0,5,30,1440,1440
289,23/09/2020 2:57,32,88,0,5,210,10080,10080
290,23/09/2020 3:01,32,89,0,5,30,1440,1440
291,23/09/2020 3:01,32,88,0,5,30,1440,1440
292,23/09/2020 3:02,32,87,0,5,60,2880,2880
293,23/09/2020 3:03,32,88,0,5,240,11520,11520
294,23/09/2020 3:07,33,88,0,5,30,1440,1440
295,23/09/2020 3:07,32,88,0,5,450,21600,21600
296,23/09/2020 3:15,32,89,0,5,180,8640,8640
297,23/09/2020 3:18,32,88,0,5,30,1440,1440
298,23/09/2020 3:18,32,89,0,5,510,24480,24480
299,23/09/2020 3:27,32,88,0,5,420,20160,20160
300,23/09/2020 3:34,32,89,0,5,60,2880,2880
301,23/09/2020 3:35,32,88,0,5,30,1440,1440
302,23/09/2020 3:35,32,89,0,5,30,1440,1440
303,23/09/2020 3:36,32,88,0,5,810,38880,38880
304,23/09/2020 3:49,32,89,0,5,450,21600,21600
305,23/09/2020 3:57,32,88,0,5,390,18720,18720
306,23/09/2020 4:03,32,87,0,5,60,2880,2880
307,23/09/2020 4:04,32,86,0,5,30,1440,1440
308,23/09/2020 4:05,32,87,0,5,900,43200,43200
309,23/09/2020 4:20,32,86,0,5,30,1440,1440
310,23/09/2020 4:20,32,87,0,5,660,31680,31680
311,23/09/2020 4:31,32,88,0,5,30,1440,1440
312,23/09/2020 4:32,32,87,0,5,60,2880,2880
313,23/09/2020 4:33,32,88,0,5,30,1440,1440
314,23/09/2020 4:33,32,87,0,5,30,1440,1440
315,23/09/2020 4:34,32,88,0,5,90,4320,4320
316,23/09/2020 4:35,32,87,0,5,30,1440,1440
317,23/09/2020 4:36,32,88,0,5,930,44640,44640
318,23/09/2020 4:51,32,89,0,5,360,17280,17280
319,23/09/2020 4:57,32,88,0,5,30,1440,1440
320,23/09/2020 4:58,32,89,0,5,270,12960,12960
321,23/09/2020 5:02,32,88,0,5,180,8640,8640
322,23/09/2020 5:05,32,87,0,5,30,1440,1440
323,23/09/2020 5:06,32,88,0,5,30,1440,1440
324,23/09/2020 5:06,32,87,0,5,30,1440,1440
325,23/09/2020 5:07,32,88,0,5,30,1440,1440
326,23/09/2020 5:07,32,89,0,5,180,8640,8640
327,23/09/2020 5:10,32,88,0,5,30,1440,1440
328,23/09/2020 5:11,32,89,0,5,330,15840,15840
329,23/09/2020 5:16,32,90,0,5,30,1440,1440
330,23/09/2020 5:17,32,89,0,5,30,1440,1440
331,23/09/2020 5:17,32,90,0,5,270,12960,12960
332,23/09/2020 5:22,32,89,0,5,120,5760,5760
333,23/09/2020 5:24,32,90,0,5,60,2880,2880
334,23/09/2020 5:25,32,89,0,5,30,1440,1440
335,23/09/2020 5:25,32,90,0,5,30,1440,1440
336,23/09/2020 5:26,32,89,0,5,240,11520,11520
337,23/09/2020 5:30,32,88,0,5,30,1440,1440
338,23/09/2020 5:30,32,89,0,5,360,17280,17280
339,23/09/2020 5:36,32,88,0,5,30,1440,1440
340,23/09/2020 5:37,32,89,0,5,60,2880,2880
341,23/09/2020 5:38,32,88,0,5,30,1440,1440
342,23/09/2020 5:38,32,89,0,5,270,12960,12960
343,23/09/2020 5:43,32,88,0,5,30,1440,1440
344,23/09/2020 5:43,32,89,0,5,150,7200,7200
345,23/09/2020 5:46,32,90,0,5,30,1440,1440
346,23/09/2020 5:46,32,89,0,5,90,4320,4320
347,23/09/2020 5:48,32,88,0,5,390,18720,18720
348,23/09/2020 5:54,32,89,0,5,60,2880,2880
349,23/09/2020 5:55,32,88,0,5,30,1440,1440
350,23/09/2020 5:56,32,89,0,5,30,1440,1440
351,23/09/2020 5:56,32,88,0,5,30,1440,1440
352,23/09/2020 5:57,32,89,0,5,90,4320,4320
353,23/09/2020 5:58,32,90,0,5,60,2880,2880
354,23/09/2020 5:59,31,90,0,5,240,11520,11520
355,23/09/2020 6:03,31,91,0,5,90,4320,4320
356,23/09/2020 6:05,31,90,0,5,480,23040,23040
357,23/09/2020 6:13,32,90,0,5,330,15840,15840
358,23/09/2020 6:18,31,90,0,5,90,4320,4320
359,23/09/2020 6:20,32,90,0,5,270,12960,12960
360,23/09/2020 6:24,32,89,0,5,30,1440,1440
361,23/09/2020 6:25,32,90,0,5,900,43200,43200
362,23/09/2020 6:40,32,89,0,5,30,1440,1440
363,23/09/2020 6:40,32,90,0,5,180,8640,8640
364,23/09/2020 6:43,32,90,0,4,150,4050,5550
365,23/09/2020 6:46,32,90,0,3,330,6600,11550
366,23/09/2020 6:51,32,90,0,5,270,12960,12960
367,23/09/2020 6:56,31,90,0,5,270,12960,12960
368,23/09/2020 7:00,31,90,0,4,150,4050,5550
369,23/09/2020 7:03,32,90,0,4,630,17010,23310
370,23/09/2020 7:13,31,90,0,4,30,810,1110
371,23/09/2020 7:14,31,91,0,4,30,810,1110
372,23/09/2020 7:14,31,90,0,4,30,810,1110
373,23/09/2020 7:15,32,91,0,4,30,810,1110
374,23/09/2020 7:15,32,90,0,4,90,2430,3330
375,23/09/2020 7:17,32,91,0,5,30,1440,1440
376,23/09/2020 7:17,32,90,0,5,30,1440,1440
377,23/09/2020 7:18,32,91,0,5,120,5760,5760
378,23/09/2020 7:20,32,90,0,5,810,38880,38880
379,23/09/2020 7:33,32,91,0,5,540,25920,25920
380,23/09/2020 7:42,32,90,0,5,120,5760,5760
381,23/09/2020 7:44,32,91,0,5,30,1440,1440
382,23/09/2020 7:45,32,90,0,5,30,1440,1440
383,23/09/2020 7:45,32,91,0,5,90,4320,4320
384,23/09/2020 7:47,32,90,0,5,510,24480,24480
385,23/09/2020 7:55,32,91,0,5,540,25920,25920
386,23/09/2020 8:04,32,90,0,5,300,14400,14400
387,23/09/2020 8:09,32,91,0,5,150,7200,7200
388,23/09/2020 8:12,32,90,0,5,1890,90720,90720
389,23/09/2020 8:43,32,89,0,5,30,1440,1440
390,23/09/2020 8:44,32,90,0,5,720,34560,34560
391,23/09/2020 8:56,32,89,0,5,30,1440,1440
392,23/09/2020 8:56,32,90,0,5,30,1440,1440
393,23/09/2020 8:57,32,89,0,5,150,7200,7200
394,23/09/2020 8:59,32,90,0,5,30,1440,1440
395,23/09/2020 9:00,32,89,0,5,120,5760,5760
396,23/09/2020 9:02,32,88,0,5,30,1440,1440
397,23/09/2020 9:02,32,89,0,5,420,20160,20160
398,23/09/2020 9:09,32,88,0,5,420,20160,20160
399,23/09/2020 9:16,32,87,0,5,60,2880,2880
400,23/09/2020 9:17,32,88,0,5,30,1440,1440
401,23/09/2020 9:17,32,88,0,5,0,0,0
402,23/09/2020 9:18,32,87,0,5,155,7440,7440
403,23/09/2020 9:20,32,88,0,5,30,1440,1440
404,23/09/2020 9:21,32,87,0,5,1050,50400,50400
405,23/09/2020 9:38,32,86,0,5,330,15840,15840
406,23/09/2020 9:44,32,85,0,5,420,20160,20160
407,23/09/2020 9:51,32,84,0,5,60,2880,2880
408,23/09/2020 9:52,32,85,0,5,30,1440,1440
409,23/09/2020 9:52,32,84,0,5,600,28800,28800
410,23/09/2020 10:02,32,83,0,5,90,4320,4320
411,23/09/2020 10:04,32,82,0,5,30,1440,1440
412,23/09/2020 10:04,33,82,0,5,60,2880,2880
413,23/09/2020 10:05,32,82,0,5,60,2880,2880
414,23/09/2020 10:06,32,83,0,5,60,2880,2880
415,23/09/2020 10:07,32,81,0,5,30,1440,1440
416,23/09/2020 10:08,32,82,0,5,30,1440,1440
417,23/09/2020 10:08,33,82,0,5,30,1440,1440
418,23/09/2020 10:09,33,83,0,5,270,12960,12960
419,23/09/2020 10:13,33,82,0,5,30,1440,1440
420,23/09/2020 10:14,33,83,0,5,120,5760,5760
421,23/09/2020 10:16,33,82,0,5,90,4320,4320
422,23/09/2020 10:17,33,81,0,5,30,1440,1440
423,23/09/2020 10:18,33,82,0,5,30,1440,1440
424,23/09/2020 10:18,33,81,0,5,180,8640,8640
425,23/09/2020 10:21,33,82,0,5,120,5760,5760
426,23/09/2020 10:23,33,81,0,5,120,5760,5760
427,23/09/2020 10:25,33,82,0,5,30,1440,1440
428,23/09/2020 10:26,33,81,0,5,210,10080,10080
429,23/09/2020 10:29,33,80,0,5,30,1440,1440
430,23/09/2020 10:30,33,81,0,5,390,18720,18720
431,23/09/2020 10:36,33,80,0,5,120,5760,5760
432,23/09/2020 10:38,33,79,0,5,30,1440,1440
433,23/09/2020 10:39,33,80,0,5,300,14400,14400
434,23/09/2020 10:44,33,79,0,5,60,2880,2880
435,23/09/2020 10:45,33,80,0,5,240,11520,11520
436,23/09/2020 10:49,33,79,0,5,30,1440,1440
437,23/09/2020 10:49,33,80,0,5,60,2880,2880
438,23/09/2020 10:50,33,81,0,5,120,5760,5760
439,23/09/2020 10:52,33,80,0,5,180,8640,8640
440,23/09/2020 10:55,33,79,0,5,30,1440,1440
441,23/09/2020 10:56,33,80,0,5,30,1440,1440
442,23/09/2020 10:56,33,79,0,5,210,10080,10080
443,23/09/2020 11:00,33,80,0,5,120,5760,5760
444,23/09/2020 11:02,33,79,0,5,330,15840,15840
445,23/09/2020 11:07,33,78,0,5,60,2880,2880
446,23/09/2020 11:08,33,77,0,5,60,2880,2880
447,23/09/2020 11:09,33,76,0,5,60,2880,2880
448,23/09/2020 11:10,33,75,0,5,150,7200,7200
449,23/09/2020 11:13,33,76,0,5,180,8640,8640
450,23/09/2020 11:16,33,75,0,5,120,5760,5760
451,23/09/2020 11:18,33,76,0,5,60,2880,2880
452,23/09/2020 11:19,33,77,0,5,180,8640,8640
453,23/09/2020 11:22,33,78,0,5,180,8640,8640
454,23/09/2020 11:25,33,77,0,5,90,4320,4320
455,23/09/2020 11:26,33,76,0,5,90,4320,4320
456,23/09/2020 11:28,33,75,0,5,30,1440,1440
457,23/09/2020 11:28,33,74,0,5,210,10080,10080
458,23/09/2020 11:32,33,73,0,5,30,1440,1440
459,23/09/2020 11:32,33,74,0,5,30,1440,1440
460,23/09/2020 11:33,33,73,0,5,150,7200,7200
461,23/09/2020 11:35,33,72,0,5,120,5760,5760
462,23/09/2020 11:37,33,73,0,5,120,5760,5760
463,23/09/2020 11:39,33,72,0,5,60,2880,2880
464,23/09/2020 11:40,33,71,0,5,60,2880,2880
465,23/09/2020 11:41,33,72,0,5,30,1440,1440
466,23/09/2020 11:42,33,71,0,5,180,8640,8640
467,23/09/2020 11:45,33,70,0,5,60,2880,2880
468,23/09/2020 11:46,33,69,0,5,30,1440,1440
469,23/09/2020 11:46,34,69,0,5,90,4320,4320
470,23/09/2020 11:48,33,69,0,5,30,1440,1440
471,23/09/2020 11:48,34,69,0,5,180,8640,8640
472,23/09/2020 11:51,34,68,0,5,60,2880,2880
473,23/09/2020 11:52,34,67,0,5,30,1440,1440
474,23/09/2020 11:53,34,68,0,5,120,5760,5760
475,23/09/2020 11:55,34,67,0,5,30,1440,1440
476,23/09/2020 11:55,34,68,0,5,30,1440,1440
477,23/09/2020 11:56,34,67,0,5,180,8640,8640
478,23/09/2020 11:59,34,66,0,5,30,1440,1440
479,23/09/2020 11:59,34,67,0,5,30,1440,1440
480,23/09/2020 12:00,34,68,0,5,420,20160,20160
481,23/09/2020 12:07,34,69,0,5,60,2880,2880
482,23/09/2020 12:08,34,68,0,5,210,10080,10080
483,23/09/2020 12:11,34,67,0,5,30,1440,1440
484,23/09/2020 12:12,34,66,0,5,30,1440,1440
